Nom;Poste;Prix;Result;Fantasy
James Harden;A;32.8;39.95;42.7150388945753
Trae Young;M;25.2;45.3;36.3470690428701
Spencer Dinwiddie;M;19.5;12.8;31.7656659077925
Kyrie Irving;M;24.4;48.5;31.3734248558142
Rudy Gobert;I;23;43.15;30.4230592989686
Luka Doncic;A;28.5;19.95;29.401258945989
D'Angelo Russell;A;19;8.3;29.0676133121286
DeAndre Ayton;I;18.5;27.45;28.6421512525525
Devin Booker;A;20.8;41.85;27.4730559230475
Donovan Mitchell;A;19.7;24.75;27.1093260001681
Ja Morant;M;18.2;41.65;26.919862586798
Clint Capela;I;22.3;25.8;26.5140780509103
Kawhi Leonard;A;26.4;55.85;26.1347046159665
John Collins;I;18.2;30.35;26.0582583934565
Jonas Valanciunas;I;18.4;20.65;25.9544712388594
Kelly Oubre Jr.;A;18.5;3.35;25.6913661073405
Giannis Antetokounmpo;I;30.7;50.55;24.9971782879452
Jaren Jackson Jr;I;16.4;20.85;23.4774419183285
Julius Randle;I;18.3;27;23.0792487842361
Kevin Huerter;A;10.5;42.15;22.8974507936519
De'Anthony Melton;M;10.9;20.75;21.7837030100969
Alec Burks;A;13.4;10.35;20.9122818670319
Omari Spellman;I;10.7;7.75;20.0230844581397
Bojan Bogdanovic;A;17.5;16.25;20.0100966490664
Dillon Brooks;A;12.2;32.2;19.6791174798908
Ivica Zubac;I;9.9;32.45;19.5735193463224
Bobby Portis;I;10.1;21.7;19.5721014455395
Boban Marjanovic;I;7.5;18;19.5082524107756
Draymond Green;I;12.9;5.1;18.9596535342042
DeAndre Jordan;I;12.6;18.3;18.6525677601355
Taurean Prince;I;13.2;4.9;18.3174759190778
RJ Barrett;A;12.3;25.8;17.9489022984947
Caris LeVert;A;11.3;11.75;17.8835446248945
Brandon Clarke;I;14.4;18.8;17.7862154071971
Joe Ingles;A;13.6;34.85;17.6962007606122
Eric Bledsoe;M;18.2;16.6;17.6368750512034
Joe Harris;A;13.3;11.8;17.4469754147715
Khris Middleton;A;19.6;22.65;17.175048259697
Collin Sexton;A;12.3;21.45;17.0685740914952
